Select language,Lựa chọn ngôn ngữ,
Vietnamese,Tiếng việt,
English,Tiếng anh,
Collapse,Thu gọn,
Expand,Mở rộng,
Docs,Tài liệu,
Sort,Sắp xếp,
Last Modified,Lần sửa đổi cuối,
Log out,Đăng xuất,
Switch to Desk,Chuyển qua Desk,
Interface Repository,Kho giao diện,
View detail,Xem chi tiết,
Use website,Sử dụng trang web,
"The interface is currently being updated, please check back later.","Giao diện đang được cập nhật thêm, vui lòng quay lại sau.",
Use the interface,Sử dụng giao diện,
"Setting up...","Đang cấu hình...",
An error has occurred,Có lỗi xảy ra,
In Use,Đang sử dụng,
Draft,Bản nháp,
Not Installed,Chưa cài đặt,
View Website,Xem trang web,
of,trên,
Preview Image,Ảnh xem trước,
Description,Mô tả,
Delete Website,Xóa trang web,
Deactivate Website,Dừng kích hoạt trang web,
Activate Website,Kích hoạt trang web,
Website,Trang web,
Deactivate,Dừng kích hoạt,
Activate,Kích hoạt,
Install Interface,Cài đặt giao diện,
Activating,Đang kích hoạt,
Deactivating,Dừng kích hoạt,
"Activating website...","Đang kích hoạt website...",
"Deactivating website...","Đang dừng kích hoạt website...",
"Deleting...","Đang xóa...",
"Configuring...","Đang cấu hình...",
"Loading interface...","Đang tải giao diện...",
"Installing interface...","Đang cài đặt giao diện...",
Interface loaded successfully,Tải giao diện thành công,
Failed to load interface,Tải giao diện thất bại,
Where,Khi,
And,Và,
"Empty - Choose a field to filter by","Trống - Chọn một trường để lọc theo",
Clear all Filter,Xóa bộ lọc,
This page is invalid,Trang không hợp lệ,
General Settings,Cấu hình chung,
Website Settings,Thiết lập trang web,
Header,Đầu trang,
Footer,Chân trang,
Add New Page,Thêm trang mới,
Page List,Danh sách trang,
Posts & Forms,Bài viết & biểu mẫu,
Post management,Quản lý bài viết,
Form management,Quản lý biểu mẫu,
Category management,Quản lý danh mục,
Tag management,Quản lý tag,
Contact List,Danh sách liên hệ,
"After deactivation, the website will no longer be accessible.","Sau khi dừng kích hoạt, trang web sẽ không thể vào được.",
"After activation, the website will become active again.","Sau khi kích hoạt, trang web sẽ hoạt động trở lại.",
"This website will be set as your primary website.","Trang web này sẽ được sử dụng là trang web chính của bạn.",
"Data from the previously used website will not be applied during the switch.","Dữ liệu từ trang web đã sử dụng trước đó sẽ không được áp dụng khi chuyển đổi.",
"Are you sure you want to use the website","Bạn chắc chắn muốn sử dụng trang web",
Cannot be undone.,Không thể hoàn tác.,
"After deletion, the website will no longer be accessible if it is currently in use.","Sau khi xóa, sẽ không vào được trang web nếu trang web đang sử dụng.",
This will delete all previously installed data for the website.,Điều này sẽ xóa toàn bộ dữ liệu đã cài đặt cho trang web trước đó.,
Are you sure you want to delete the website created from the template,Bạn chắc chắn muốn xóa website đã tạo từ mẫu,
Action,Thao tác,
General Setup,Thiết lập chung,
General Settings,Cài đặt chung,
Domain,Tên miền,
"Saving...","Đang lưu...",
Notification email to admin,Email thông báo tới quản trị viên,
Sender email,Email gửi,
Use,Sử dụng,
Use a different domain,Sử dụng tên miền khác,
Receive email notifications,Nhận thông báo email,
Allow,Cho phép,
Receive emails in the following cases,Nhận email trong các trường hợp,
"when there is a new contact, a new job application, a new order, or a new account registration.","khi có liên hệ mới, khi có CV tuyển dụng mới, khi có đơn hàng mới và khi có tài khoản đăng ký mới.",
Allow synchronization,Cho phép đồng bộ,
Email notification recipient list,Danh sách email nhận thông báo,
"Each email should be separated by `;`.","Mỗi email cách nhau bởi dấu `;`.",
"Email template for new contact (*)","Mẫu email khi có liên hệ mới (*)",
"Email template for new job application (*)","Mẫu email khi có CV ứng tuyển mới (*)",
"Email template for new order (*)","Mẫu email khi có đơn hàng mới (*)",
"Email template for new account registration (*)","Mẫu email khi có tài khoản đăng ký mới (*)",
Customer notification email,Email thông báo tới khách hàng,
Send email notifications,Gửi thông báo email,
Send emails in the following cases,Gửi email trong các trường hợp,
"when a new order is placed, when the order is being delivered, when the order is completed, when the order is cancelled, and when an account is registered.","khi đặt đơn hàng mới, khi đơn hàng đang được giao, khi hoàn thành đơn hàng, khi hủy đơn hàng và khi đăng ký tài khoản.",
"Email template for new order placement (*)","Mẫu email khi đặt đơn hàng mới (*)",
"Email template for order in delivery (*)","Mẫu email khi đơn hàng đang được giao (*)",
"Email template for order completion (*)","Mẫu email khi hoàn thành đơn hàng (*)",
"Email template for order cancellation (*)","Mẫu email khi hủy đơn hàng (*)",
"Email template for account registration (*)","Mẫu email khi đăng ký tài khoản (*)",
"Please install the `CRM` app to use this feature.","Vui lòng cài đặt app `CRM` để sử dụng tính năng này.",
"Sync contacts to Lead (CRM App)","Đồng bộ liên hệ sang Lead(App CRM)",
Add New,Thêm mới,
Menu name,Tên menu,
Select existing menu,Chọn menu đã có,
Enter name,Nhập tên,
Enter url,Nhập url,
Delete menu,Xóa menu,
Redirect URL,URL chuyển hướng,
Redirect link,Link chuyển hướng,
Redirect,Chuyển hướng,
cannot be empty,không được để trống,
Website name,Tên trang web,
Website type,Loại trang web,
Upload image,Tải hình ảnh lên,
Form name,Tên biểu mẫu,
Form type,Loại biểu mẫu,
Label for submit button,Nhãn cho nút gửi,
Enter,Nhập,
Field List,Danh sách các trường,
No.,STT,
Display Name,Tên hiển thị,
Field Name,Tên trường,
Required Field,Trường bắt buộc,
Visible,Hiển thị,
No data available,Không có dữ liệu,
Text placeholder,Văn bản gợi ý,
Maximum file size (MB),Dung lượng tối đa của file (MB),
Options (one per line),Các lựa chọn (mỗi lựa chọn trên 1 dòng),
Instructions,Hướng dẫn,
Variables used in the email template,Các biến được dùng trong mẫu email,
Commonly used variables,Các biến sử dụng chung,
creation time,thời gian tạo,
customer full name,họ và tên khách hàng,
customer phone number,số điện thoại khách hàng,
customer email,email khách hàng,
customer address,địa chỉ khách hàng,
message content from customer,nội dung khách hàng gửi kèm,
customer source,nguồn gửi của khách hàng,
submission time,thời gian gửi,
Sent time,Thời gian gửi,
link to view new contact details,đường dẫn xem chi tiết liên hệ mới,
Variables used in the new contact template,Các biến sử dụng trong mẫu có liên hệ mới,
Variables used in the new account registration template,Các biến sử dụng trong mẫu tài khoản đăng ký mới,
"link to view new account details (for admin) / login page link (for customer)","đường dẫn xem chi tiết tài khoản mới(cho quản trị viên) / đường dẫn tới trang đăng nhập(cho khách hàng)",
Variables used in the new job application CV template,Các biến sử dụng trong mẫu có CV ứng tuyển mới,
job title,tên công việc,
job position,vị trí công việc,
work location,nơi làm việc,
employment type,hình thức làm việc,
department,phòng ban,
minimum salary,lương tối thiểu,
maximum salary,lương giới hạn,
currency,đơn vị tiền tệ,
"salary paid by month/year","lương trả theo tháng/năm",
customer-submitted content,nội dung khách hàng gửi kèm,
application detail link,đường dẫn xem chi tiết đơn ứng tuyển,
Variables used in the order template,Các biến sử dụng trong mẫu đơn hàng,
order code,mã đơn hàng,
order status,trạng thái đơn hàng,
customer address,địa chỉ khách hàng,
product list,danh sách sản phẩm,
variable containing information of one product,biến chứa thông tin của 1 sản phẩm,
loop start variable,biến mở vòng lặp,
product name,tên của sản phẩm,
unit price per product,"đơn giá / 1 đơn vị sản phẩm",
product quantity,số lượng của 1 sản phẩm,
total amount for one product,tổng số tiền của 1 sản phẩm,
loop end variable,biến đóng vòng lặp,
subtotal amount,tổng số tiền tạm tính,
